S10,S11,S1,S2,S3,S4,S5,S6,S7,S8,S9
0.5966514348983765,0.7408963441848755,0.7815126180648804,0.843137264251709,0.9439775943756104,0.7640056014060974,0.7086834907531738,0.8361344337463379,0.8543417453765869,0.7857142686843872,0.8809523582458496
0.8912732601165771,0.6180257797241211,0.48097413778305054,0.4490106403827667,0.5418569445610046,0.44748857617378235,0.5449010729789734,0.4550989270210266,0.5966514348983765,0.4398782253265381,0.5038051605224609
0.9154161214828491,0.7216916680335999,0.9727148413658142,1.0,0.8054363131523132,0.9227467775344849,0.733905553817749,0.902718186378479,0.8669527769088745,0.7653791308403015,0.8612303137779236
0.6717557311058044,0.4748091697692871,0.6870229244232178,0.7374045848846436,0.8226466774940491,0.875852644443512,0.6712141633033752,0.909959077835083,0.8635743260383606,0.7462483048439026,0.8062756061553955
0.5233516693115234,0.40934064984321594,0.5851648449897766,0.6978021860122681,0.6414835453033447,0.7221373915672302,0.6717557311058044,0.7267175316810608,0.6854962110519409,0.6488549709320068,0.8534350991249084
0.5553956627845764,0.5539568066596985,0.6417266130447388,0.6071942448616028,0.8230215907096863,0.8158273100852966,0.8200549483299255,0.7651098966598511,0.6593406796455383,0.6167582273483276,0.6057692170143127
0.6842105388641357,0.47017544507980347,0.8771929740905762,0.8807017803192139,0.8315789699554443,0.8549707531929016,0.8233917951583862,0.6287769675254822,0.6805755496025085,0.6014388203620911,0.735251784324646
0.854347825050354,0.7141304612159729,0.541304349899292,0.688043475151062,0.8076087236404419,0.5663043260574341,0.79347825050354,0.6173912882804871,0.8152046799659729,0.7321637272834778,0.8058479428291321
0.7223851680755615,0.5493646264076233,0.5855327248573303,0.7106549143791199,0.8465298414230347,0.6451612710952759,0.7722384929656982,0.5767350792884827,0.7829912304878235,0.696739137172699,0.729347825050354
0.8258196711540222,0.49897539615631104,0.8002049326896667,0.6096311211585999,0.8616803288459778,0.7418032884597778,0.7612704634666443,0.7428278923034668,0.7827869057655334,0.5870901346206665,0.7067448496818542
