S10,S11,S1,S2,S3,S4,S5,S6,S7,S8,S9
0.8173515796661377,0.9544817805290222,0.8823529481887817,0.9523809552192688,0.9558823704719543,0.9397758841514587,0.8746498823165894,0.9495798349380493,0.8893557190895081,0.976190447807312,0.9593837261199951
0.8569384813308716,0.822603702545166,0.7519025802612305,0.8554033637046814,0.7290715575218201,0.9101978540420532,0.6940639019012451,0.875190258026123,0.5981734991073608,0.6484017968177795,0.7062404751777649
0.9113233089447021,0.8526602983474731,0.9604365825653076,0.9899857044219971,0.8640915751457214,0.9341917037963867,0.9585121870040894,0.9585121870040894,0.8912732601165771,0.8927038908004761,0.9241774082183838
0.8320610523223877,0.7770992517471313,0.829007625579834,0.7923663854598999,0.8772169351577759,0.9536153078079224,0.9017735123634338,0.9563437700271606,0.8062756061553955,0.8772169351577759,0.9563437700271606
0.651098906993866,0.7074176073074341,0.7129120826721191,0.7706043720245361,0.723901093006134,0.8564885258674622,0.8931297659873962,0.8091602921485901,0.7114503979682922,0.694656491279602,0.8351144790649414
0.7827337980270386,0.6460431814193726,0.8503597378730774,0.8143885135650635,0.7611510753631592,0.9237409830093384,0.8200549483299255,0.8241758346557617,0.6483516693115234,0.5508241653442383,0.6332417726516724
0.874853789806366,0.8853800892829895,0.8701754212379456,0.9087719321250916,0.8923976421356201,0.9052631855010986,0.8608186841011047,0.8345323801040649,0.6935251951217651,0.666187047958374,0.8345323801040649
0.8923913240432739,0.9336956739425659,0.656521737575531,0.917391300201416,0.8586956262588501,0.814130425453186,0.7326086759567261,0.789130449295044,0.6900584697723389,0.8035087585449219,0.8491228222846985
0.8054741024971008,0.7116324305534363,0.7497556209564209,0.8993157148361206,0.8563050031661987,0.8025415539741516,0.8220918774604797,0.6881720423698425,0.769305944442749,0.873913049697876,0.928260862827301
0.8770492076873779,0.8463114500045776,0.8852459192276001,0.8258196711540222,0.9323770403862,0.9723360538482666,0.6680327653884888,0.9846311211585999,0.8627049326896667,0.7346311211585999,0.703812301158905
